#This file contains the outputs from the newton-dog-leg-cauchy method solver. The outputs are ordered in the following way: 
#Iteration point | directions(Newton-Steepest-Dog leg) | trust radius | norm | reduction 
(30,112)   (60,7)   (0,0)   (0,0)   (0,0)   (0,0)   (0.301269,0.929687)   (-18.3557,7.87587)   20   2.10048e+49   2.53371   2.20601e+98
(30.3013,112.93)   (41.6443,14.8759)   (0,0)   (0,0)   (0,0)   (0,0)   (0.781744,0.593272)   (-18.3408,7.91241)   20   5.32202e+49   1.8099   1.41619e+99
(31.083,113.523)   (23.3035,22.7883)   (0,0)   (0,0)   (0,0)   (0,0)   (0.610558,-0.788881)   (-18.2507,8.11948)   20   9.63233e+49   0.454353   4.63909e+99
(31.6936,112.734)   (5.05286,30.9078)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.520953,-0.851523)   (-18.1415,8.36031)   20   4.37648e+49   0.426764   9.57677e+98
(31.1726,111.883)   (-13.0887,39.2681)   (0,0)   (0,0)   (0,0)   (0,0)   (0.461936,-0.885337)   (-18.1911,8.25177)   20   1.86772e+49   0.412575   1.7442e+98
(31.6346,110.997)   (-31.2798,47.5198)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.418163,-0.907092)   (-18.0948,8.46069)   20   7.70576e+48   0.403697   2.96894e+97
(31.2164,110.09)   (-49.3746,55.9805)   (0,0)   (0,0)   (0,0)   (0,0)   (0.383546,-0.922438)   (-18.1293,8.38661)   20   3.11079e+48   0.397549   4.83851e+96
(31.5999,109.168)   (-67.5039,64.3671)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.355,-0.933928)   (-18.038,8.58121)   20   1.23669e+48   0.393007   7.64702e+95
(31.2449,108.234)   (-85.5418,72.9483)   (0,0)   (0,0)   (0,0)   (0,0)   (0.330749,-0.942889)   (-18.0628,8.52885)   20   4.86028e+47   0.389501   1.18112e+95
(31.5757,107.291)   (-103.605,81.4772)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.309675,-0.9501)   (-17.9731,8.71613)   20   1.89309e+47   0.386702   1.79189e+94
(31.266,106.341)   (-121.578,90.1933)   (0,0)   (0,0)   (0,0)   (0,0)   (0.29103,-0.956041)   (-17.9904,8.68033)   20   7.3206e+46   0.384412   2.67956e+93
(31.557,105.385)   (-139.568,98.8737)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.274291,-0.961034)   (-17.9005,8.8643)   20   2.81412e+46   0.382497   3.95965e+92
(31.2828,104.424)   (-157.469,107.738)   (0,0)   (0,0)   (0,0)   (0,0)   (0.259079,-0.965292)   (-17.9112,8.84264)   20   1.0764e+46   0.380872   5.79313e+91
(31.5418,103.458)   (-175.38,116.581)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.245108,-0.968975)   (-17.8194,9.02612)   20   4.09969e+45   0.379472   8.40371e+90
(31.2967,102.489)   (-193.199,125.607)   (0,0)   (0,0)   (0,0)   (0,0)   (0.232163,-0.972194)   (-17.8238,9.01757)   20   1.55571e+45   0.378252   1.21012e+90
(31.5289,101.517)   (-211.023,134.624)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.22007,-0.975035)   (-17.7288,9.20289)   20   5.88453e+44   0.377179   1.73138e+89
(31.3088,100.542)   (-228.752,143.827)   (0,0)   (0,0)   (0,0)   (0,0)   (0.208694,-0.977561)   (-17.7265,9.20733)   20   2.21952e+44   0.376228   2.46314e+88
(31.5175,99.5646)   (-246.478,153.034)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.197925,-0.979825)   (-17.6268,9.39668)   20   8.35046e+43   0.375377   3.48651e+87
(31.3196,98.5848)   (-264.105,162.431)   (0,0)   (0,0)   (0,0)   (0,0)   (0.187672,-0.981863)   (-17.6172,9.41467)   20   3.13457e+43   0.374612   4.91276e+86
(31.5073,97.603)   (-281.722,171.846)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.177859,-0.983711)   (-17.5112,9.61036)   20   1.17425e+43   0.373921   6.8943e+85
(31.3294,96.6192)   (-299.234,181.456)   (0,0)   (0,0)   (0,0)   (0,0)   (0.168423,-0.98539)   (-17.4932,9.6432)   20   4.39076e+42   0.373294   9.63939e+84
(31.4978,95.6339)   (-316.727,191.099)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.15931,-0.986924)   (-17.3788,9.84788)   20   1.63904e+42   0.372721   1.34323e+84
(31.3385,94.6469)   (-334.105,200.947)   (0,0)   (0,0)   (0,0)   (0,0)   (0.150474,-0.988328)   (-17.3504,9.89768)   20   6.10907e+41   0.372199   1.86603e+83
(31.489,93.6586)   (-351.456,210.845)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.141875,-0.989616)   (-17.2249,10.1146)   20   2.27379e+41   0.371719   2.58505e+82
(31.3471,92.669)   (-368.681,220.96)   (0,0)   (0,0)   (0,0)   (0,0)   (0.133478,-0.9908)   (-17.1836,10.1846)   20   8.4521e+40   0.37128   3.5719e+81
(31.4806,91.6782)   (-385.864,231.144)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.125253,-0.99189)   (-17.043,10.4182)   20   3.13809e+40   0.370875   4.92381e+80
(31.3553,90.6863)   (-402.907,241.562)   (0,0)   (0,0)   (0,0)   (0,0)   (0.117172,-0.992892)   (-16.9846,10.5131)   20   1.16384e+40   0.370504   6.77263e+79
(31.4725,89.6934)   (-419.892,252.075)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.109214,-0.993814)   (-16.8233,10.7693)   20   4.31207e+39   0.370162   9.29699e+78
(31.3633,88.6996)   (-436.715,262.845)   (0,0)   (0,0)   (0,0)   (0,0)   (0.101356,-0.99466)   (-16.7413,10.8963)   20   1.59617e+39   0.369849   1.27387e+78
(31.4646,87.7049)   (-453.457,273.741)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.0935809,-0.995437)   (-16.5504,11.1841)   20   5.90341e+38   0.369562   1.74251e+77
(31.3711,86.7095)   (-470.007,284.925)   (0,0)   (0,0)   (0,0)   (0,0)   (0.085873,-0.996145)   (-16.4339,11.3546)   20   2.18167e+38   0.3693   2.37985e+76
(31.4569,85.7133)   (-486.441,296.28)   (0,0)   (0,0)   (0,0)   (0,0)   (-0.0782187,-0.99679)   (-16.1986,11.6879)   20   8.05693e+37   0.369062   3.24571e+75
